회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
1020와이오엔지4지아이엘 주식회사,YONGFILM INC.,1020와이오엔지4지아이엘, ,임승용,기타법인,110111-4942680,101-86-74570,"서울특별시 성동구 서울숲4길 12-8 (성수동1가, 용빌딩), 4층", ,,"영화, 비디오물, 방송프로그램 제작 및 배급업",2012-08-21,12월
111퍼센트 주식회사,111percent Inc.,111퍼센트, ,김강안,기타법인,110111-5858927,136-87-00241,"서울특별시 강남구 테헤란로 152 (역삼동, 강남파이낸스센터)",111percent.net,,모바일 게임 소프트웨어 개발 및 공급업,2015-10-13,12월
(주) 21 엔케이,"21NK Co., Ltd",21엔케이, ,"이상우, 엄종옥, 허동명",기타법인,120111-0216045,121-81-35687,인천광역시 중구 율목동 47 21NK 빌딩 2층,http://www.21nk.com,,시스템 소프트웨어 개발 및 공급업,2000-03-08,12월
주식회사248마일,248MILES Inc.,248마일, ,박재홍,기타법인,110111-6187664,670-88-00447,"서울특별시 강남구 논현로79길 47 (역삼동, 열린기술빌딩) 2층",www.8miles.co.kr/,,소프트웨어 개발 및 공급업,2016-10-04,12월
(주)5민랩,5minlab Corp.,5민랩, ,박문형,기타법인,110111-5231074,220-88-66851,서울특별시 마포구 독막로 5 (합정동) 4층, ,,게임 소프트웨어 개발 및 공급업,2013-09-24,12월
(주)740게임즈,740Games Inc.,740게임즈, ,김경희,기타법인,110111-7206637,886-86-01498,서울특별시 마포구 독막로6길 9 (합정동) 2층 2433호, ,,게임 소프트웨어 개발 및 공급업,2019-08-19,12월
주식회사 76소프트,"76SOFT Co.,Ltd",76소프트, ,이경학,기타법인,110111-7066734,174-88-01161,경기도 안양시 동안구 시민대로327번길 11-41 (관양동) 안양창업지원센터 217호,www.76soft.net,,응용 소프트웨어 개발 및 공급업,2019-04-05,12월
"ACCESS CO., LTD.","ACCESS CO., LTD.","ACCESSCO.,LTD.", ,Tomihisa Kamada,기타법인, ,28848,경기도 성남시 분당구 정자동 6번지 파크뷰타워 22층,www.access-company.com/,,응용 소프트웨어 개발 및 공급업,1984-02-01,01월
Advanced Manufacturing Corporation Pte. Ltd. ,Advanced Manufacturing Corporation Pte. Ltd. ,AdvancedManufacturingCorporationPte.Ltd., ,Philip Poh Siew Chuan,기타법인, ,200209571E,23 Ubi Crescent Singapore 408579,www.advancedmanufacturing.com,,시스템 소프트웨어 개발 및 공급업,2002-11-02,12월
ANIMATION INTERNATIONAL HOLDINGS LIMITED,ANIMATION INTERNATIONAL HOLDINGS LIMITED,ANIMATIONINTERNATIONALHOLDINGSLIMITED, ,Hiroshi Kondo,기타법인, ,36978,"P.O.Box 2208, Road Town Tortola, British Virgin Island", ,,"영화, 비디오물 및 방송프로그램 배급업",1993-05-12,12월
(주)비에프랩스,"BFLABS Co.,LTD.",BF랩스,139050,한상우,코스닥시장,121111-0142596,138-81-32903,경기도 안양시 만안구 예술공원로 153-323층(석수동 825-1 3층),-,,컴퓨터시스템 통합 자문 및 구축 서비스업,2006-02-20,12월
CBC 株式會社,"CBC Co., Ltd.",CBC株式會社, ,Doi Utaro,기타법인, ,010-00-1050333,"Tsukishima, Chuo-ku, Tokyo 104-0052 2-15-13", ,,응용 소프트웨어 개발 및 공급업,1925-01-20,12월
Cintel Corp.,Cintel Corp.,CintelCorp., ,김상돈,기타법인, ,C17454-1996,"9900 Corporate Campus Drive Suite 3000, Louisville, KY 40223, U.S.A.",www.cintelcorp.com,,기타 정보기술 및 컴퓨터운영 관련 서비스업,1996-08-16,12월
씨제이씨지브이(주),"CJ CGV CO.,LTD.",CJ CGV,079160,정종민,유가증권시장,110111-1673220,104-81-45690,서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동),www.cgv.co.kr,,영화관 운영업,1999-03-30,12월
(주)씨제이이엔엠,"CJ ENM CO., Ltd.",CJ ENM,035760,윤상현,코스닥시장,110111-1109134,106-81-51510,서울특별시 서초구  과천대로 870-13,www.cjmall.com,,텔레비전 방송업,1994-12-16,12월
"CJ CGV VIETNAM HOLDINGS CO., LTD","CJ CGV VIETNAM HOLDINGS CO., LTD","CJCGVVIETNAMHOLDINGSCO.,LTD", ,심준범,기타법인, ,600263,"Craigmuir Chambers, P.O. Box 71, Road Town, Tortola, British Virgin Islands", ,,영화 및 비디오물 상영업,2004-06-11,12월
"Cyber Agent, Ltd.","Cyber Agent, Ltd.","CyberAgent,Ltd.", ,Susumu Fujita,기타법인, ,011-00-1034156,서울특별시 영등포구 여의도동 대한투자신탁 6층,http://,,컴퓨터시설 관리업,1998-03-18,09월
(주) DB Inc.,DB Inc.,DB,012030,"문덕식, 강운식 (각자 대표이사)",유가증권시장,110111-0210859,211-81-19938,서울특별시 강남구 삼성로96길 23 7층,www.dbinc.co.kr,,컴퓨터시스템 통합 자문 및 구축 서비스업,1977-03-15,12월
