회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
(주)유니맥스,UNIMAX Corporation,(주)유니맥스, ,이용태,기타법인,131111-0091783,129-81-59529,경기도 안성시 원곡면 지문로 459-25 (성은리),unimax.co,,부직포 및 펠트 제조업,2003-03-04,12월
(주대동판지,DAEDONG PAN JI,(주대동판지, ,박기종,기타법인,134511-0016574,135-81-16321,경기도 용인시 처인구 포곡읍 신원리 8번지,www.ddpaper.co.kr,,골판지 및 골판지 가공제품 제조업,2005-08-01,12월
1-800 CONTACTS,1-800 CONTACTS,1-800CONTACTS, ,"Jonathan C, Coon",기타법인, ,21538,66 E. Wadsworth Park Drive,www.1800contacts.com/,,"의료, 정밀, 광학기기 및 시계 제조업",1995-02-01,12월
주식회사 21세기,"21CENTURY CO.,LTD",21세기, ,김성환,기타법인,134811-0043290,124-81-64712,경기도 화성시 향남읍 만년로151번길 100 (갈천리),www.21t.co.kr,,디지털 적층 성형기계 제조업,1999-07-26,12월
21세기기업주식회사,21 Century Co.Ltd.,21세기기업, ,이규환,기타법인,141111-0002556,226-81-03438,강원특별자치도 강릉시 강변로604번길 2 (입암동),해당사항없슴,,기어 및 동력전달장치 제조업,1966-06-01,12월
21세기산기(주),21Century Machine Industry Co Ltd,21세기산기, ,이상종,기타법인,174711-0001862,505-81-20024,경상북도 영천시 본촌동 432, ,,자동차 및 트레일러 제조업,1990-03-27,12월
(주)21세기조선,"21st Century Shipbuilding Co., Ltd",21세기조선, ,김찬수,기타법인,191211-0005772,612-81-09268,경상남도 통영시 봉평동 14-1,www.shipbuilding.co.kr,,선박 및 수상 부유 구조물 건조업,1999-02-01,12월
(주)21세기축산,21c stock raising co.ltd,21세기축산, ,이홍훈,기타법인,220111-0041508,616-81-42143,제주특별자치도 제주시 한림읍 중산간서로 4462-12 다동(명월리),홍도야지.kr,,육류 포장육 및 냉동육 가공업 (가금류 제외),2003-01-07,12월
(주)360퍼스펙티브,360 Perspective,360퍼스펙티브, ,오영주,기타법인,110111-5783877,185-87-00127,"서울특별시 성동구 성수일로8길 5 (성수동2가, 서울숲SKV1TOWER) A동 1006호",www.360per.com,,화장품 제조업,2015-07-21,12월
(주)삼에스코리아,"3S KOREA CO., LTD",3S,060310,정완영,코스닥시장,110111-0746474,129-81-16215,서울특별시 금천구 가산디지털1로 75-24 1310호,www.3sref.com,,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1991-01-28,03월
3S PHOTONICS,3S PHOTONICS,3SPHOTONICS, ,KRIVINE Alexandre,기타법인, ,392 305 652 R.C.S.EVRY,Route de Villejust Lieudit Villarceaux 91620 NOZAY, ,,통신 및 방송 장비 제조업,1994-06-17,12월
주식회사 45스페이스(45space),"45space Co., Ltd.",45스페이스(45space), ,최훈식,기타법인,285011-0404511,731-87-01405,"서울특별시 마포구 양화로 125 5층(서교동, 경남관광빌딩)",chaakan.co.kr,,구두류 제조업,2019-02-18,12월
5에스산업,5S industry,5에스산업, ,이희용,기타법인,124411-0059247,137-81-52003,인천광역시 강화군 선원면 연리 446-1, ,,가구 제조업,2003-03-03,12월
주식회사 88 콘크리트,88 Concrete Ltd.,88콘크리트, ,강남희,기타법인,120111-0103812,139-81-18525,인천광역시 남동구 만수동 898-8,www.88con.com,,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",1994-11-20,12월
(주)A.M.C,Advanced Magnetech Corp.,A.M.C, ,진경식,기타법인,135011-0093464,133-81-37640,경기도 안산시 단원구 원시동 778 중앙일보빌딩 8층,www.amctop.com,,그 외 기타 금속가공제품 제조업,1998-09-07,12월
A.S.G인터내셔날(주),ASG INTERNATIONAL CORPORATION,A.S.G인터내셔날, ,이경우,기타법인,121111-0063362,130-81-57517,"인천광역시 계양구 경명대로988번길 8-18 (계산동, ASG빌딩)", ,,가방 및 기타 보호용 케이스 제조업,1998-11-01,12월
(주)ABC,"ABC.CO.,LTD",ABC, ,최주환,기타법인,121111-0069360,130-81-64871,경기도 부천시 오정구 삼정동 48-72,www.abcboiler.co.kr,,가정용 비전기식 조리 및 난방 기구 제조업,2001-01-01,12월
ACS DOBFAR S.P.A,ACS DOBFAR S.P.A,ACSDOBFARS.P.A, ,Marco Falciani,기타법인, ,27986,"Viale Addetta 6/8/10,20067 Tribiano Milano, Italy",www.acsdobfar.it/,,기초 의약 물질 제조업,1980-05-20,12월
Agfa Graphics NV,Agfa Graphics NV,AgfaGraphicsNV, ,"Mr, Stefaan Vanhooren",기타법인, ,0456.366.588,"Septestraat 27, 2640 Mortsel, Belgium",www.agfa.com,,감광재료 및 관련 화학제품 제조업,1995-12-22,12월
"Amkor Technology, Inc.", ,"AmkorTechnology,Inc.", ,John Boruch,기타법인, ,9659,서울특별시 종로구 내자동 223 세양빌딩, ,,전자집적회로 제조업,1997-09-26,12월
에이피시스템(주),Advanced Process Systems Corporation,AP시스템,265520,Yoo Ho Sun,코스닥시장,134811-0400341,204-87-00511,경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp,www.apsystems.co.kr,,디스플레이 제조용 기계 제조업,2017-03-02,12월
