basic_code,basic_name,sub_code,sub_name,mid_code,mid_name,large_code,large_name
0111,곡물 및 식량작물 재배업,011,작물 재배업,01,농축산업 및 관련 서비스업,A,농림어업
0112,"채소, 과실 및 기타 작물 재배업",011,작물 재배업,01,농축산업 및 관련 서비스업,A,농림어업
0121,낙농 및 육우 사육업,012,축산업,01,농축산업 및 관련 서비스업,A,농림어업
0122,양돈업,012,축산업,01,농축산업 및 관련 서비스업,A,농림어업
0123,양계 및 가금류 사육업,012,축산업,01,농축산업 및 관련 서비스업,A,농림어업
0129,기타 축산업,012,축산업,01,농축산업 및 관련 서비스업,A,농림어업
0130,농축산 관련서비스업,013,농축산 관련서비스업,01,농축산업 및 관련 서비스업,A,농림어업
0200,임업,020,임업,02,임업,A,농림어업
0300,수산어획업,030,수산어획업,03,어업,A,농림어업
0310,양식업 및 관련 서비스,031,양식업 및 관련 서비스,03,어업,A,농림어업
0510,석탄광업,051,석탄광업,05,"석탄, 원유 및 천연가스 채굴업",B,광업
0520,원유 및 천연가스 채굴업,052,원유 및 천연가스 채굴업,05,"석탄, 원유 및 천연가스 채굴업",B,광업
0600,금속광업,060,금속광업,06,금속광업,B,광업
0710,골재 및 석재 채취업,071,골재 및 석재 채취업,07,비금속광업,B,광업
0790,기타 비금속 광업,079,기타 비금속 광업,07,비금속광업,B,광업
1011,도축업,101,"도축, 육류 가공 및 저장 처리업",10,식료품 제조업,C01,음식료품제조업
1012,육류 가공 및 저장 처리업,101,"도축, 육류 가공 및 저장 처리업",10,식료품 제조업,C01,음식료품제조업
1020,수산물 가공 및 저장 처리업,102,수산물 가공 및 저장 처리업,10,식료품 제조업,C01,음식료품제조업
1030,"과일, 채소 가공 및 저장 처리업",103,"과일, 채소 가공 및 저장 처리업",10,식료품 제조업,C01,음식료품제조업
1041,동물성 및 식물성 유지 제조업,104,유지 및 식품첨가물 제조업,10,식료품 제조업,C01,음식료품제조업
1042,설탕 제조업,104,유지 및 식품첨가물 제조업,10,식료품 제조업,C01,음식료품제조업
1043,조미료 및 식품첨가물 제조업,104,유지 및 식품첨가물 제조업,10,식료품 제조업,C01,음식료품제조업
1050,낙농제품 및 식용 빙과류 제조업,105,낙농제품 및 식용 빙과류 제조업,10,식료품 제조업,C01,음식료품제조업
1061,곡물 도정업,106,"곡물가공품, 전분 및 전분제품 제조업",10,식료품 제조업,C01,음식료품제조업
1062,곡물 제분 및 곡물 가공품 제조업,106,"곡물가공품, 전분 및 전분제품 제조업",10,식료품 제조업,C01,음식료품제조업
1063,전분제품 및 당류 제조업,106,"곡물가공품, 전분 및 전분제품 제조업",10,식료품 제조업,C01,음식료품제조업
1071,"떡, 빵 및 과자류 제조업",107,"떡, 빵, 과자류 및 면류 제조업",10,식료품 제조업,C01,음식료품제조업
1072,면류 및 유사 식품 제조업,107,"떡, 빵, 과자류 및 면류 제조업",10,식료품 제조업,C01,음식료품제조업
1081,도시락 및 식사용 조리식품 제조업,108,기타 식료품 제조업,10,식료품 제조업,C01,음식료품제조업
1082,커피 및 차류 가공업,108,기타 식료품 제조업,10,식료품 제조업,C01,음식료품제조업
1083,인삼식품 및 건강보조식품 제조업,108,기타 식료품 제조업,10,식료품 제조업,C01,음식료품제조업
1089,그외 기타 식료품 제조업,108,기타 식료품 제조업,10,식료품 제조업,C01,음식료품제조업
1090,동물용 사료 및 조제식품 제조업,109,동물용 사료 및 조제식품 제조업,10,식료품 제조업,C01,음식료품제조업
1111,증류주 및 합성주 제조업,111,주류 제조업,11,음료 제조업,C01,음식료품제조업
1112,맥아 및 맥주 제조업,111,주류 제조업,11,음료 제조업,C01,음식료품제조업
1119,기타 발효주 제조업,111,주류 제조업,11,음료 제조업,C01,음식료품제조업
1120,비알콜음료 및 얼음 제조업,112,비알콜음료 및 얼음 제조업,11,음료 제조업,C01,음식료품제조업
1200,담배 제조업,120,담배 제조업,12,담배 제조업,C01,음식료품제조업
1311,방적 및 가공사 제조업,131,방적 및 직조제품 제조업,13,섬유제품 제조업,C02,섬유 및 가죽제품 제조업
1312,직물직조 및 직물제품 제조업,131,방적 및 직조제품 제조업,13,섬유제품 제조업,C02,섬유 및 가죽제품 제조업
1320,섬유제품 염색 및 마무리 가공업,132,섬유제품 염색 및 마무리 가공업,13,섬유제품 제조업,C02,섬유 및 가죽제품 제조업
1391,편조원단 제조업,139,기타 섬유제품 제조업,13,섬유제품 제조업,C02,섬유 및 가죽제품 제조업
1392,"끈, 로프, 어망 및 끈 가공품 제조업",139,기타 섬유제품 제조업,13,섬유제품 제조업,C02,섬유 및 가죽제품 제조업
1399,기타 섬유제품 제조업,139,기타 섬유제품 제조업,13,섬유제품 제조업,C02,섬유 및 가죽제품 제조업
1401,봉제의복 제조업,140,의복 제조업,14,의복 제조업,C02,섬유 및 가죽제품 제조업
1402,편조의복 제조업,140,의복 제조업,14,의복 제조업,C02,섬유 및 가죽제품 제조업
1409,기타의복 및 의복관련 장신품 제조업,140,의복 제조업,14,의복 제조업,C02,섬유 및 가죽제품 제조업
1501,"가죽, 가방 및 유사제품 제조업",150,가죽 및 가죽제품 제조업,15,가죽 및 가죽제품 제조업,C02,섬유 및 가죽제품 제조업
1502,신발 및 신발부분품 제조업,150,가죽 및 가죽제품 제조업,15,가죽 및 가죽제품 제조업,C02,섬유 및 가죽제품 제조업
1610,제재 및 목재 가공업,161,제재 및 목재 가공업,16,목재 및 목제품 제조업,C03,"목재, 종이, 인쇄 및 복제업"
1621,건축용 목제품 제조업,162,목제품 제조업(가구 제외),16,목재 및 목제품 제조업,C03,"목재, 종이, 인쇄 및 복제업"
1622,"목재 상자, 드럼 및 적재판 제조업",162,목제품 제조업(가구 제외),16,목재 및 목제품 제조업,C03,"목재, 종이, 인쇄 및 복제업"
1629,기타 목제품 제조업,162,목제품 제조업(가구 제외),16,목재 및 목제품 제조업,C03,"목재, 종이, 인쇄 및 복제업"
1711,펄프 제조업,171,"펄프, 종이 및 판지 제조업",17,펄프 및 종이제품 제조업,C03,"목재, 종이, 인쇄 및 복제업"
1712,"신문용지, 인쇄 및 필기용 원지 제조업",171,"펄프, 종이 및 판지 제조업",17,펄프 및 종이제품 제조업,C03,"목재, 종이, 인쇄 및 복제업"
1719,기타 종이 및 판지 제조업,171,"펄프, 종이 및 판지 제조업",17,펄프 및 종이제품 제조업,C03,"목재, 종이, 인쇄 및 복제업"
1721,골판지 및 골판지 상자 제조업,172,종이제품 제조업,17,펄프 및 종이제품 제조업,C03,"목재, 종이, 인쇄 및 복제업"
1722,위생용 종이제품 제조업,172,종이제품 제조업,17,펄프 및 종이제품 제조업,C03,"목재, 종이, 인쇄 및 복제업"
1729,기타 종이제품 제조업,172,종이제품 제조업,17,펄프 및 종이제품 제조업,C03,"목재, 종이, 인쇄 및 복제업"
1801,인쇄 및 인쇄관련 산업,180,인쇄 및 기록매체 복제업,18,인쇄 및 기록매체 복제업,C03,"목재, 종이, 인쇄 및 복제업"
1802,기록매체 복제업,180,인쇄 및 기록매체 복제업,18,인쇄 및 기록매체 복제업,C03,"목재, 종이, 인쇄 및 복제업"
1910,코크스 및 연탄 제조업,191,코크스 및 연탄 제조업,19,코크스 및 석유정제품 제조업,C04,코크스 및 석유정제품 제조업
1921,원유 정제 처리업,192,석유정제품 제조업,19,코크스 및 석유정제품 제조업,C04,코크스 및 석유정제품 제조업
1929,윤활유 및 기타 석유정제품 제조업,192,석유정제품 제조업,19,코크스 및 석유정제품 제조업,C04,코크스 및 석유정제품 제조업
2011,석유화학계 기초화학물질 제조업,201,기초유기화학물질 제조업,20,화학물질 및 화학제품 제조업,C05,화학물질 및 화학제품 제조업
2019,기타 기초유기화학물질 제조업,201,기초유기화학물질 제조업,20,화학물질 및 화학제품 제조업,C05,화학물질 및 화학제품 제조업
2021,산업용 가스 제조업,202,기초 무기화학물질 제조업,20,화학물질 및 화학제품 제조업,C05,화학물질 및 화학제품 제조업
2022,"무기안료, 염료, 유연제 및 기타 착색제 제조업",202,기초 무기화학물질 제조업,20,화학물질 및 화학제품 제조업,C05,화학물질 및 화학제품 제조업
2029,기타 기초 무기화학물질 제조업,202,기초 무기화학물질 제조업,20,화학물질 및 화학제품 제조업,C05,화학물질 및 화학제품 제조업
2030,비료 및 질소화합물 제조업,203,비료 및 질소화합물 제조업,20,화학물질 및 화학제품 제조업,C05,화학물질 및 화학제품 제조업
2041,합성고무 제조업,204,합성고무 및 플라스틱 물질 제조업,20,화학물질 및 화학제품 제조업,C05,화학물질 및 화학제품 제조업
2042,합성수지 및 기타 플라스틱 물질 제조업,204,합성고무 및 플라스틱 물질 제조업,20,화학물질 및 화학제품 제조업,C05,화학물질 및 화학제품 제조업
2050,화학섬유 제조업,205,화학섬유 제조업,20,화학물질 및 화학제품 제조업,C05,화학물질 및 화학제품 제조업
2060,농약 및 살균ㆍ살충제 제조업,206,농약 및 살균ㆍ살충제 제조업,20,화학물질 및 화학제품 제조업,C05,화학물질 및 화학제품 제조업
2070,"잉크, 페인트, 코팅제 및 유사제품 제조업",207,"잉크, 페인트, 코팅제 및 유사제품 제조업",20,화학물질 및 화학제품 제조업,C05,화학물질 및 화학제품 제조업
