원본_업종명,정규화_업종명,KSIC_코드_4자리,KSIC_명칭,매칭_레벨,매칭_방식,매칭_스코어,KSIC_코드_5자리,5자리_모호성,KSIC_코드_11차,변경유형
1차 금속 제조업,1차 금속 제조업,24,1차금속 제조업,mid,fuzzy,0.9412,,False,,
1차 금속제품 도매업,1차 금속제품 도매업,4672,금속광물 도매업,hwp_5digit,hwp_fuzzy_agg,0.75,46722,False,,
1차 금속제품 및 금속광물 도매업,1차 금속제품 및 금속광물 도매업,4672,1차 금속제품 도매업,linkage_11th,link11_fuzzy,0.7586,46721,False,46721,
1차 비철금속 제조업,1차 비철금속 제조업,24,1차금속 제조업,mid,fuzzy,0.8421,,False,,
"1차 유리제품, 유리섬유 및 광학용 유리 제조업",1차 유리제품 유리섬유 및 광학용 유리 제조업,2312,유리섬유 및 광학용 유리 제조업,hwp_5digit,hwp_fuzzy,0.8095,23121,False,,
1차 철강 제조업,1차 철강 제조업,2423,철강선 제조업,basic,fuzzy_agg,0.9231,,False,,
1차 플라스틱제품 제조업,1차 플라스틱제품 제조업,2230,플라스틱 1차제품 제조업,basic,fuzzy_agg,0.8696,,False,,
가공 공작기계 제조업,가공 공작기계 제조업,2922,기타 가공 공작기계 제조업,hwp_5digit,hwp_fuzzy,0.88,29229,False,,
가공 및 정제염 제조업,가공 및 정제염 제조업,2049,가공 및 정제염 제조업,hwp_5digit,hwp_exact,1.0,20492,False,,
가공식품 도매업,가공식품 도매업,4632,육류 가공식품 도매업,hwp_5digit,hwp_fuzzy,0.8421,46321,False,,
가공식품 소매업,가공식품 소매업,4732,가전제품 소매업,hwp_5digit,hwp_fuzzy,0.75,47320,False,,
가구 내 고용활동,가구 내 고용활동,9700,가구 내 고용활동,hwp_5digit,hwp_exact,1.0,97000,False,,
가구 소매업,가구 소매업,4752,가구 소매업,hwp_5digit,hwp_exact,1.0,47520,False,,
가구 제조업,가구 제조업,320,가구 제조업,sub,exact,1.0,,False,,
가금류 가공 및 저장 처리업,가금류 가공 및 저장 처리업,1012,육류 가공 및 저장 처리업,basic,fuzzy,0.8966,,False,,
가금류 도축업,가금류 도축업,1011,가금류 도축업,hwp_5digit,hwp_exact,1.0,10112,False,,
가발 및 유사 제품 제조업,가발 및 유사 제품 제조업,1501,"가죽, 가방 및 유사제품 제조업",basic,fuzzy,0.8,,False,,
가방 및 기타 가죽제품 소매업,가방 및 기타 가죽제품 소매업,4744,가방 및 기타 가죽제품 소매업,hwp_5digit,hwp_exact,1.0,47440,False,,
가방 및 기타 보호용 케이스 제조업,가방 및 기타 보호용 케이스 제조업,1512,가방 및 기타 보호용 케이스 제조업,hwp_5digit,hwp_exact,1.0,15129,False,,
