io_code,io_name,ksic_code
0111,벼,01110
0112,맥류 및 잡곡,01110
0113,콩류,01110
0113,콩류,01140
0114,감자류,01110
0114,감자류,01140
0121,채소,01121
0121,채소,01132
0121,채소,01151
0121,채소,01152
0121,채소,01159
0122,과실,01131
0122,과실,01152
0191,화훼작물,01122
0191,화훼작물,01152
0192,약용작물,01140
0192,약용작물,02030
0193,잎담배,01140
0194,천연고무,01140
0195,종자,01123
0196,기타식용작물,01132
0196,기타식용작물,01140
0199,기타 비식용작물,01140
0211,낙농,01211
0212,축우,01212
0291,양돈,01220
0292,가금,01231
0292,가금,01239
0299,기타축산,01291
0299,기타축산,01299
0301,영림,02011
0301,영림,02012
0302,원목,02020
0303,식용 임산물,02030
0309,기타 임산물,02020
0309,기타 임산물,02030
0401,수산어획,03111
0401,수산어획,03112
0401,수산어획,03120
0402,수산양식,03211
0402,수산양식,03212
0402,수산양식,03213
0500,농림어업 서비스,01411
0500,농림어업 서비스,01412
0500,농림어업 서비스,01420
0500,농림어업 서비스,02040
0500,농림어업 서비스,03213
0500,농림어업 서비스,03220
0500,농림어업 서비스,01500
0611,무연탄,05100101
0612,유연탄,05100109
0621,원유,05200101
0622,천연가스(LNG),05200102
0711,철광석,06100100
0719,기타 비철금속광석,06200100
0719,기타 비철금속광석,06200200
0719,기타 비철금속광석,06200300
0719,기타 비철금속광석,06200800
0721,골재 및 석재,07121101
0721,골재 및 석재,07121200
0721,골재 및 석재,07122101
0721,골재 및 석재,07122102
0722,석회석,07110100
0722,석회석,07121102
0729,기타 비금속광물,07110201
0729,기타 비금속광물,07110209
0729,기타 비금속광물,07122200
0729,기타 비금속광물,07210101
0729,기타 비금속광물,07210109
0729,기타 비금속광물,07220100
0729,기타 비금속광물,07290101
0729,기타 비금속광물,07290102
0729,기타 비금속광물,07290109
0811,도축육,10111101
0811,도축육,10111102
0811,도축육,10111109
0811,도축육,10111901
0811,도축육,10111902
0811,도축육,10122101
0812,가금육,10112101
0812,가금육,10112102
0812,가금육,10112109
0812,가금육,10112900
0812,가금육,10121102
0813,육가공품,10121101
0813,육가공품,10121109
0813,육가공품,10129101
0813,육가공품,10129102
0813,육가공품,10129103
0813,육가공품,10129104
0813,육가공품,10129105
0813,육가공품,10129109
0814,낙농품,10501101
0814,낙농품,10501102
0814,낙농품,10501103
0814,낙농품,10501104
0814,낙농품,10501105
0814,낙농품,10501106
0814,낙농품,10501107
0814,낙농품,10501109
0814,낙농품,10502101
0814,낙농품,10502102
0821,수산물 가공품,10211101
0821,수산물 가공품,10211102
0821,수산물 가공품,10211103
0821,수산물 가공품,10211104
0821,수산물 가공품,10211109
0821,수산물 가공품,10211199
0821,수산물 가공품,10211201
0821,수산물 가공품,10211202
0821,수산물 가공품,10211203
0821,수산물 가공품,10211204
0821,수산물 가공품,10211205
0821,수산물 가공품,10211209
0821,수산물 가공품,10219100
0821,수산물 가공품,10219809
0821,수산물 가공품,10219900
0821,수산물 가공품,10220101
0821,수산물 가공품,10220102
0821,수산물 가공품,10220103
0821,수산물 가공품,10220109
0822,수산동물 저장품,10212101
0822,수산동물 저장품,10212102
0822,수산동물 저장품,10212103
0822,수산동물 저장품,10212104
0822,수산동물 저장품,10212109
0822,수산동물 저장품,10212119
0822,수산동물 저장품,10212199
0822,수산동물 저장품,10212201
0822,수산동물 저장품,10212202
0822,수산동물 저장품,10212209
0822,수산동물 저장품,10212210
0822,수산동물 저장품,10213101
0822,수산동물 저장품,10213102
0822,수산동물 저장품,10213103
0822,수산동물 저장품,10213109
0822,수산동물 저장품,10213201
0822,수산동물 저장품,10213202
0831,정곡,10611101
0831,정곡,10611102
0831,정곡,10611109
0831,정곡,10611900
0832,제분,10612101
0832,제분,10612102
0832,제분,10612103
0832,제분,10612109
0832,제분,10612901
0832,제분,10612902
0832,제분,10613100
0841,원당,10720101
0842,정제당,10720102
0843,전분 및 당류,10620101
0843,전분 및 당류,10620102
0843,전분 및 당류,10620103
0843,전분 및 당류,10620109
0843,전분 및 당류,10620201
0843,전분 및 당류,10620202
0843,전분 및 당류,10620203
0843,전분 및 당류,10620209
0851,"떡, 빵 및 과자류",10711100
0851,"떡, 빵 및 과자류",10711200
0851,"떡, 빵 및 과자류",10712101
0851,"떡, 빵 및 과자류",10712102
0851,"떡, 빵 및 과자류",10712103
0851,"떡, 빵 및 과자류",10712109
0851,"떡, 빵 및 과자류",10712110
0851,"떡, 빵 및 과자류",10713101
0851,"떡, 빵 및 과자류",10713102
0851,"떡, 빵 및 과자류",10713103
0851,"떡, 빵 및 과자류",10713104
0851,"떡, 빵 및 과자류",10713201
0851,"떡, 빵 및 과자류",10713202
0851,"떡, 빵 및 과자류",10713203
0851,"떡, 빵 및 과자류",10713209
0852,면류,10730101
0852,면류,10730102
0852,면류,10730103
0852,면류,10730109
0852,면류,10730201
0852,면류,10730209
0861,조미료 및 첨가용식품,10741101
0861,조미료 및 첨가용식품,10741102
0861,조미료 및 첨가용식품,10741103
0861,조미료 및 첨가용식품,10741104
0861,조미료 및 첨가용식품,10742101
0861,조미료 및 첨가용식품,10742102
0861,조미료 및 첨가용식품,10742103
0861,조미료 및 첨가용식품,10742109
0861,조미료 및 첨가용식품,10742201
0861,조미료 및 첨가용식품,10742202
0861,조미료 및 첨가용식품,10742203
0861,조미료 및 첨가용식품,10742209
0861,조미료 및 첨가용식품,10743101
0861,조미료 및 첨가용식품,10743102
0861,조미료 및 첨가용식품,10743103
0861,조미료 및 첨가용식품,10743104
0861,조미료 및 첨가용식품,10743105
0861,조미료 및 첨가용식품,10743106
0861,조미료 및 첨가용식품,10743109
0861,조미료 및 첨가용식품,10749101
0861,조미료 및 첨가용식품,10749102
0861,조미료 및 첨가용식품,10749103
0861,조미료 및 첨가용식품,10749105
0861,조미료 및 첨가용식품,10749109
0862,유지,10219801
0862,유지,10401101
0862,유지,10401102
0862,유지,10401200
0862,유지,10401900
0862,유지,10402101
0862,유지,10402102
0862,유지,10402103
0862,유지,10402104
0862,유지,10402109
0862,유지,10402901
0862,유지,10402909
0862,유지,10403101
0862,유지,10403102
0862,유지,10403103
0862,유지,10403104
0862,유지,10403105
0862,유지,10403109
0871,과실 및 채소 가공품,10301100
0871,과실 및 채소 가공품,10302101
0871,과실 및 채소 가공품,10302109
0871,과실 및 채소 가공품,10309101
0871,과실 및 채소 가공품,10309102
0871,과실 및 채소 가공품,10309103
0871,과실 및 채소 가공품,10309104
0871,과실 및 채소 가공품,10309105
0871,과실 및 채소 가공품,10309201
0871,과실 및 채소 가공품,10309202
0871,과실 및 채소 가공품,10309203
0871,과실 및 채소 가공품,10309209
0871,과실 및 채소 가공품,10309301
0871,과실 및 채소 가공품,10309302
0871,과실 및 채소 가공품,10309309
0871,과실 및 채소 가공품,10309400
0871,과실 및 채소 가공품,10793103
0872,커피 및 차류,10791101
0872,커피 및 차류,10791102
0872,커피 및 차류,10791103
0872,커피 및 차류,10792101
0872,커피 및 차류,10792102
0872,커피 및 차류,10792103
0872,커피 및 차류,10792104
0872,커피 및 차류,10792105
0872,커피 및 차류,10792106
0872,커피 및 차류,10792109
0873,인삼 및 건강보조 식품,10795101
0873,인삼 및 건강보조 식품,10795102
0873,인삼 및 건강보조 식품,10795103
0873,인삼 및 건강보조 식품,10795104
0873,인삼 및 건강보조 식품,10795105
0873,인삼 및 건강보조 식품,10795106
0873,인삼 및 건강보조 식품,10795109
0873,인삼 및 건강보조 식품,10796101
0873,인삼 및 건강보조 식품,10796109
0873,인삼 및 건강보조 식품,10797101
0873,인삼 및 건강보조 식품,10797102
0873,인삼 및 건강보조 식품,10797103
0873,인삼 및 건강보조 식품,10797104
0873,인삼 및 건강보조 식품,10797109
0879,기타 식료품,10619101
0879,기타 식료품,10619102
0879,기타 식료품,10619103
0879,기타 식료품,10619109
0879,기타 식료품,10751101
0879,기타 식료품,10751102
0879,기타 식료품,10759101
0879,기타 식료품,10759102
0879,기타 식료품,10759103
0879,기타 식료품,10759109
0879,기타 식료품,10793101
0879,기타 식료품,10793102
0879,기타 식료품,10794101
0879,기타 식료품,10794102
0879,기타 식료품,10794109
0879,기타 식료품,10799101
