source_io_code,source_io_name,target_io_code,target_io_name,value
0111,벼,0111,벼,1.018493398300033
0111,벼,0112,맥류 및 잡곡,0.008173573567544053
0111,벼,0113,콩류,0.003687997584549871
0111,벼,0114,감자류,0.003166144734067101
0111,벼,0121,채소,0.003137294709498083
0111,벼,0122,과실,0.0009318374883284912
0111,벼,0191,화훼작물,0.001736756116745119
0111,벼,0192,약용작물,0.03080507832801319
0111,벼,0193,잎담배,0.006049096904908235
0111,벼,0194,천연고무,0.0
0111,벼,0195,종자,0.007275200475623451
0111,벼,0196,기타식용작물,0.0006121972977126764
0111,벼,0199,기타 비식용작물,0.004170212022935949
0111,벼,0211,낙농,0.05420958830249843
0111,벼,0212,축우,0.0335483281753647
0111,벼,0291,양돈,0.02875132322636158
0111,벼,0292,가금,0.00920500401265046
0111,벼,0299,기타축산,0.05044646982722784
0111,벼,0301,영림,0.00133523728483495
0111,벼,0302,원목,0.001473822440478739
0111,벼,0303,식용 임산물,0.002023021769318691
0111,벼,0309,기타 임산물,0.01538643936453495
0111,벼,0401,수산어획,0.0006826469806744637
0111,벼,0402,수산양식,0.002626803702177145
0111,벼,0500,농림어업 서비스,0.01731775333015202
0111,벼,0611,무연탄,0.001269084531289425
0111,벼,0612,유연탄,0.0
0111,벼,0621,원유,0.001374476376543216
0111,벼,0622,천연가스(LNG),0.001163979788187627
0111,벼,0711,철광석,0.0006969203440171907
0111,벼,0719,기타 비철금속광석,0.0007501858097047174
0111,벼,0721,골재 및 석재,0.0009574338498057231
0111,벼,0722,석회석,0.0009387315870350501
0111,벼,0729,기타 비금속광물,0.001205358030161617
0111,벼,0811,도축육,0.02670780286055825
0111,벼,0812,가금육,0.005038261047654008
0111,벼,0813,육가공품,0.005311066935465434
0111,벼,0814,낙농품,0.01725470170338145
0111,벼,0821,수산물 가공품,0.001596118405600446
0111,벼,0822,수산동물 저장품,0.001008078434647346
0111,벼,0831,정곡,0.8342574857595618
0111,벼,0832,제분,0.03360005673646501
0111,벼,0841,원당,0.0
0111,벼,0842,정제당,0.0005123046197473821
0111,벼,0843,전분 및 당류,0.004626715445574418
0111,벼,0851,"떡, 빵 및 과자류",0.03267731267352064
0111,벼,0852,면류,0.007611311133102866
0111,벼,0861,조미료 및 첨가용식품,0.005362651416808367
0111,벼,0862,유지,0.002079485945321403
0111,벼,0871,과실 및 채소 가공품,0.001838356542240229
0111,벼,0872,커피 및 차류,0.006828969164850339
0111,벼,0873,인삼 및 건강보조 식품,0.005827692664218057
0111,벼,0879,기타 식료품,0.03543087977038862
0111,벼,0880,사료,0.01460869093162416
0111,벼,0911,주정,0.09213740760357961
0111,벼,0912,소주,0.01140619130030764
0111,벼,0913,맥주,0.0007422799951823624
