source_io_code,source_io_name,target_io_code,target_io_name,value
0111,벼,0111,벼,137663.0
0111,벼,0112,맥류 및 잡곡,1939.0
0111,벼,0113,콩류,1655.0
0111,벼,0114,감자류,2215.0
0111,벼,0121,채소,25453.0
0111,벼,0122,과실,1026.0
0111,벼,0191,화훼작물,287.0
0111,벼,0192,약용작물,52157.0
0111,벼,0193,잎담배,404.0
0111,벼,0194,천연고무,0.0
0111,벼,0195,종자,3955.0
0111,벼,0196,기타식용작물,19.0
0111,벼,0199,기타 비식용작물,0.0
0111,벼,0211,낙농,121353.0
0111,벼,0212,축우,151270.0
0111,벼,0291,양돈,136474.0
0111,벼,0292,가금,3744.0
0111,벼,0299,기타축산,35024.0
0111,벼,0301,영림,359.0
0111,벼,0302,원목,0.0
0111,벼,0303,식용 임산물,300.0
0111,벼,0309,기타 임산물,947.0
0111,벼,0401,수산어획,0.0
0111,벼,0402,수산양식,0.0
0111,벼,0500,농림어업 서비스,19045.0
0111,벼,0611,무연탄,0.0
0111,벼,0612,유연탄,0.0
0111,벼,0621,원유,0.0
0111,벼,0622,천연가스(LNG),0.0
0111,벼,0711,철광석,0.0
0111,벼,0719,기타 비철금속광석,0.0
0111,벼,0721,골재 및 석재,0.0
0111,벼,0722,석회석,0.0
0111,벼,0729,기타 비금속광물,0.0
0111,벼,0811,도축육,0.0
0111,벼,0812,가금육,0.0
0111,벼,0813,육가공품,0.0
0111,벼,0814,낙농품,0.0
0111,벼,0821,수산물 가공품,0.0
0111,벼,0822,수산동물 저장품,0.0
0111,벼,0831,정곡,7556023.0
0111,벼,0832,제분,0.0
0111,벼,0841,원당,0.0
0111,벼,0842,정제당,0.0
0111,벼,0843,전분 및 당류,0.0
0111,벼,0851,"떡, 빵 및 과자류",15.0
0111,벼,0852,면류,0.0
0111,벼,0861,조미료 및 첨가용식품,0.0
0111,벼,0862,유지,0.0
0111,벼,0871,과실 및 채소 가공품,0.0
0111,벼,0872,커피 및 차류,0.0
0111,벼,0873,인삼 및 건강보조 식품,299.0
0111,벼,0879,기타 식료품,1.0
0111,벼,0880,사료,128091.0
0111,벼,0911,주정,0.0
0111,벼,0912,소주,0.0
0111,벼,0913,맥주,0.0
0111,벼,0919,기타 주류,0.0
0111,벼,0920,비알콜음료 및 얼음,0.0
0111,벼,1000,담배,0.0
0111,벼,1111,천연 및 화학섬유사,0.0
0111,벼,1119,기타섬유사,0.0
0111,벼,1121,천연 및 화학 섬유직물,0.0
0111,벼,1122,기타 섬유직물,0.0
0111,벼,1123,편조원단,0.0
0111,벼,1130,섬유표백 및 염색 임가공,0.0
0111,벼,1141,직물제품,0.0
0111,벼,1142,부직포 및 펠트,0.0
0111,벼,1149,기타 섬유제품,0.0
0111,벼,1151,봉제의류,0.0
0111,벼,1152,편조의류,0.0
0111,벼,1153,가죽의류,0.0
0111,벼,1154,모피의류 및 모피제품,0.0
0111,벼,1155,의복 관련 장신품,0.0
0111,벼,1201,가죽,0.0
0111,벼,1202,모피,0.0
0111,벼,1203,가방 및 핸드백,0.0
0111,벼,1204,신발,0.0
0111,벼,1209,기타 가죽제품,0.0
0111,벼,1311,제재목,0.0
0111,벼,1312,합판,0.0
0111,벼,1313,강화 및 재생목재,0.0
0111,벼,1321,건축용 목제품,0.0
0111,벼,1322,목재용기 및 적재판,0.0
0111,벼,1329,기타 목제품,0.0
0111,벼,1410,펄프,0.0
0111,벼,1421,인쇄용지,0.0
0111,벼,1429,기타 원지 및 판지,0.0
0111,벼,1431,골판지 및 골판지가공품,0.0
0111,벼,1432,종이용기,0.0
0111,벼,1433,종이문구 및 사무용지,0.0
0111,벼,1434,위생용 종이제품,0.0
0111,벼,1439,기타 종이제품,0.0
0111,벼,1500,인쇄 및 기록매체 복제,0.0
0111,벼,1610,석탄제품,0.0
0111,벼,1621,나프타,0.0
0111,벼,1622,휘발유,0.0
0111,벼,1623,제트유,0.0
0111,벼,1624,등유,0.0
0111,벼,1625,경유,0.0
0111,벼,1626,중유,0.0
0111,벼,1627,액화석유가스,0.0
0111,벼,1628,정제혼합용 원료유,0.0
0111,벼,1631,윤활유 및 그리스,0.0
0111,벼,1639,기타 석유정제제품,0.0
0111,벼,1711,지방족 기초유분,0.0
0111,벼,1712,방향족 기초유분,0.0
0111,벼,1713,석유화학중간제품,0.0
0111,벼,1719,기타 기초유기화합물,0.0
0111,벼,1721,산업용 가스,0.0
0111,벼,1722,기초무기화합물,0.0
0111,벼,1723,"염료, 안료 및 유연제",0.0
0111,벼,1801,합성수지,0.0
0111,벼,1802,합성고무,0.0
0111,벼,1900,화학섬유,0.0
0111,벼,2000,의약품,37.0
0111,벼,2101,비료 및 질소화합물,0.0
0111,벼,2102,살충제 및 농약,0.0
0111,벼,2211,도료,0.0
0111,벼,2212,잉크,0.0
0111,벼,2221,"비누, 세제 및 치약",0.0
0111,벼,2222,화장품,0.0
0111,벼,2291,접착제 및 젤라틴,0.0
0111,벼,2292,사진용 화학제품 및 감광재료,0.0
0111,벼,2299,기타 화학제품,0.0
0111,벼,2310,플라스틱 1차제품,0.0
0111,벼,2391,건축용 플라스틱제품,0.0
0111,벼,2392,포장용 플라스틱제품,0.0
0111,벼,2393,운송장비 및 조립용 플라스틱제품,0.0
0111,벼,2399,기타 플라스틱제품,0.0
0111,벼,2410,타이어 및 튜브,0.0
0111,벼,2491,산업용 고무제품,0.0
0111,벼,2499,기타 고무제품,0.0
0111,벼,2501,판유리 및 1차 유리제품,0.0
0111,벼,2502,전자기기용 유리제품,0.0
0111,벼,2503,산업용 유리제품(전자기기용 제외),0.0
0111,벼,2509,기타 유리제품,0.0
0111,벼,2611,가정용 도자기,0.0
0111,벼,2612,산업용 도자기,0.0
0111,벼,2613,내화요업제품,0.0
0111,벼,2614,건설용 비내화요업제품,0.0
0111,벼,2620,시멘트,0.0
0111,벼,2631,레미콘,0.0
0111,벼,2632,콘크리트 제품,0.0
0111,벼,2691,석회 및 석고제품,0.0
0111,벼,2692,석제품,0.0
0111,벼,2693,연마재,0.0
0111,벼,2694,아스콘 및 아스팔트제품,0.0
0111,벼,2699,기타 비금속광물제품,0.0
0111,벼,2711,선철,0.0
0111,벼,2712,합금철,0.0
0111,벼,2713,조강,0.0
0111,벼,2721,철근 및 봉강,0.0
0111,벼,2722,형강,0.0
0111,벼,2723,선재 및 궤조,0.0
0111,벼,2724,중후판(두께 3mm 이상),0.0
0111,벼,2725,열연강판,0.0
0111,벼,2726,강선,0.0
0111,벼,2727,철강관,0.0
0111,벼,2730,냉간압연강재,0.0
0111,벼,2791,표면처리강재,0.0
0111,벼,2799,기타 철강1차제품,0.0
0111,벼,2811,"동 제련, 정련 및 합금제품",0.0
0111,벼,2812,"알루미늄 제련, 정련 및 합금제품",0.0
0111,벼,2813,"연 및 아연 제련, 정련 및 합금제품",0.0
0111,벼,2814,금은괴,0.0
0111,벼,2819,"기타 비철금속 제련, 정련 및 합금제품",0.0
0111,벼,2821,동 1차제품,0.0
0111,벼,2822,알루미늄 1차제품,0.0
0111,벼,2829,기타 비철금속 1차제품,0.0
0111,벼,2900,금속 주물,0.0
0111,벼,3011,건축용 금속제품,0.0
0111,벼,3012,구조물용 금속제품,0.0
0111,벼,3013,금속제 탱크 및 압력용기,0.0
0111,벼,3014,산업용 보일러 및 증기발생기,0.0
0111,벼,3021,금속 단조 및 야금제품,0.0
0111,벼,3022,금속압형제품,0.0
0111,벼,3031,금속처리,0.0
0111,벼,3032,금속처리 가공품,0.0
0111,벼,3091,가정용 금속제품,0.0
0111,벼,3092,부착용 금속제품,0.0
0111,벼,3093,공구류,0.0
0111,벼,3094,나사 및 철선제품,0.0
0111,벼,3095,금속포장용기,0.0
0111,벼,3099,기타 금속제품,0.0
0111,벼,3101,개별소자,0.0
0111,벼,3102,집적회로,0.0
0111,벼,3201,LCD 평판 디스플레이,0.0
0111,벼,3209,기타 전자표시장치,0.0
0111,벼,3310,인쇄회로기판 및 실장기판,0.0
0111,벼,3391,"축전기, 저항기, 전자코일 및 변성기",0.0
0111,벼,3399,기타 전자부품,0.0
0111,벼,3401,컴퓨터,0.0
0111,벼,3402,컴퓨터 기억장치,0.0
0111,벼,3409,컴퓨터 주변기기,0.0
0111,벼,3511,유선통신기기,0.0
0111,벼,3512,이동전화기,0.0
0111,벼,3519,기타 무선통신장비 및 방송장비,0.0
0111,벼,3521,TV,0.0
0111,벼,3522,영상기기,0.0
0111,벼,3523,오디오 및 음향기기,0.0
0111,벼,3611,의료용 기기,0.0
0111,벼,3612,측정 및 분석기기,0.0
0111,벼,3613,자동조정 및 제어기기,0.0
0111,벼,3691,사진장비 및 광학기기,0.0
0111,벼,3692,시계,0.0
0111,벼,3710,발전기 및 전동기,0.0
0111,벼,3721,변압기,0.0
0111,벼,3722,전기변환장치,0.0
0111,벼,3723,전기회로 개폐 및 접속장치,0.0
0111,벼,3724,배전반 및 전기자동 제어반,0.0
0111,벼,3730,전지,0.0
0111,벼,3740,전선 및 케이블,0.0
0111,벼,3751,가정용 냉장고 및 냉동고,0.0
0111,벼,3752,주방용 및 난방용 전기기기,0.0
0111,벼,3759,기타 가정용 전기기기,0.0
0111,벼,3791,전구 및 램프,0.0
0111,벼,3792,조명장치,0.0
0111,벼,3799,기타 전기장비,0.0
0111,벼,3810,내연기관 및 터빈,0.0
0111,벼,3820,펌프 및 압축기,0.0
0111,벼,3831,밸브,0.0
