source_io_code,source_io_name,target_io_code,target_io_name,value
0111,벼,0111,벼,0.7042215805024671
0111,벼,0112,맥류 및 잡곡,0.005651491610742312
0111,벼,0113,콩류,0.002550009152946817
0111,벼,0114,감자류,0.002189182033428823
0111,벼,0121,채소,0.002169234128088013
0111,벼,0122,과실,0.0006443046856243116
0111,벼,0191,화훼작물,0.001200853279484174
0111,벼,0192,약용작물,0.0212996971643258
0111,벼,0193,잎담배,0.004182554928777414
0111,벼,0194,천연고무,0.0
0111,벼,0195,종자,0.005030325366828334
0111,벼,0196,기타식용작물,0.0004232943966982477
0111,벼,0199,기타 비식용작물,0.002883428902655707
0111,벼,0211,낙농,0.03748238527269036
0111,벼,0212,축우,0.0231964750388211
0111,벼,0291,양돈,0.01987965981694179
0111,벼,0292,가금,0.006364658313092623
0111,벼,0299,기타축산,0.03488043493634422
0111,벼,0301,영림,0.0009232292645605272
0111,벼,0302,원목,0.001019051836905665
0111,벼,0303,식용 임산물,0.001398787257883457
0111,벼,0309,기타 임산물,0.01063871662367537
0111,벼,0401,수산어획,0.000472005745406109
0111,벼,0402,수산양식,0.001816262980108177
0111,벼,0500,농림어업 서비스,0.01197409393253514
0111,벼,0611,무연탄,0.0008774889615461174
0111,벼,0612,유연탄,0.0
0111,벼,0621,원유,0.0009503605304346102
0111,벼,0622,천연가스(LNG),0.0008048159050206695
0111,벼,0711,철광석,0.0004818748427503611
0111,벼,0719,기타 비철금속광석,0.0005187044289757398
0111,벼,0721,골재 및 석재,0.000662002895710597
0111,벼,0722,석회석,0.0006490715040399993
0111,벼,0729,기타 비금속광물,0.0008334262534136715
0111,벼,0811,도축육,0.01846669912009585
0111,벼,0812,가금육,0.003483628037142877
0111,벼,0813,육가공품,0.003672255468411064
0111,벼,0814,낙농품,0.01193049785588729
0111,벼,0821,수산물 가공품,0.001103611499237135
0111,벼,0822,수산동물 저장품,0.0006970203142236549
0111,벼,0831,정곡,0.5768344950965936
0111,벼,0832,제분,0.02323224195603036
0111,벼,0841,원당,0.0
0111,벼,0842,정제당,0.0003542251423714558
0111,벼,0843,전분 및 당류,0.003199071166348167
0111,벼,0851,"떡, 빵 및 과자류",0.0225942247793942
0111,벼,0852,면류,0.005262723906503649
0111,벼,0861,조미료 및 첨가용식품,0.003707922763890203
0111,벼,0862,유지,0.00143782854311198
0111,벼,0871,과실 및 채소 가공품,0.001271103329549606
0111,벼,0872,커피 및 차류,0.004721785596745546
0111,벼,0873,인삼 및 건강보조 식품,0.004029468375080524
0111,벼,0879,기타 식료품,0.02449813635723314
0111,벼,0880,사료,0.01010095444321163
0111,벼,0911,주정,0.06370699202792347
0111,벼,0912,소주,0.007886635375764986
0111,벼,0913,맥주,0.0005132380752346308
0111,벼,0919,기타 주류,0.01208246105830296
0111,벼,0920,비알콜음료 및 얼음,0.001117597793692777
0111,벼,1000,담배,0.0002007063616932337
0111,벼,1111,천연 및 화학섬유사,0.0005232592959334589
0111,벼,1119,기타섬유사,0.0006021891340470563
0111,벼,1121,천연 및 화학 섬유직물,0.0005527181771565481
0111,벼,1122,기타 섬유직물,0.0004782760587770654
0111,벼,1123,편조원단,0.0004867366441425323
0111,벼,1130,섬유표백 및 염색 임가공,0.0007081366025024386
0111,벼,1141,직물제품,0.0006721170816528726
0111,벼,1142,부직포 및 펠트,0.0003907378727960659
0111,벼,1149,기타 섬유제품,0.0003943238661826336
0111,벼,1151,봉제의류,0.0004983722934746807
0111,벼,1152,편조의류,0.0002993768487417424
0111,벼,1153,가죽의류,0.0006058985882967823
0111,벼,1154,모피의류 및 모피제품,0.006628870261962476
0111,벼,1155,의복 관련 장신품,0.0004193417267153309
0111,벼,1201,가죽,0.001004602687199864
0111,벼,1202,모피,0.002021899828079446
0111,벼,1203,가방 및 핸드백,0.0004420448767978825
0111,벼,1204,신발,0.0004525942901680771
0111,벼,1209,기타 가죽제품,0.0005916888419029233
0111,벼,1311,제재목,0.0005523301753979252
0111,벼,1312,합판,0.0006028252868330432
0111,벼,1313,강화 및 재생목재,0.0005708834833386141
0111,벼,1321,건축용 목제품,0.0005937011636226413
0111,벼,1322,목재용기 및 적재판,0.000453122557322476
0111,벼,1329,기타 목제품,0.0006364080179846077
0111,벼,1410,펄프,0.0007323887015509183
0111,벼,1421,인쇄용지,0.0003534295276584483
0111,벼,1429,기타 원지 및 판지,0.0004894366016701018
0111,벼,1431,골판지 및 골판지가공품,0.0004596853259635971
0111,벼,1432,종이용기,0.0005428040394981693
